Product (CSV Name),Website Product Name,Length,Size,Taper,Pack Type,Pack Quantity,Sub Category (Type),Product Type,Original Brand,Parent Company,Full Description,Key Features,Specs / Sizes,Certification,Source URL,Primary Image URL
Platinum V.EU,Platinum V.EU,19mm,,,Assorted,Pack of 6 files,Preparation Files,NiTi Rotary File – Premium EU Edition,UDG,Bondent,Platinum V.EU is a premium NiTi rotary file system designed by European KOLs. Features a patented S cross-section with flat design — the perfect compromise between cutting efficiency and debris removal. Innovative polishing and nano coating strengthen cyclic fatigue resistance; new heat treatment improves flexibility.,Designed by European KOLs; Patented S cross-section with flat design; Nano coating for cyclic fatigue resistance; Heat treated for flexibility; Specific side-cutting reduces screw-in effect,"Sizes: #17/12%, #15/4%, #20/5%, #25/4%, #25/6%, #30/4% | Lengths: 19mm (opener), 21mm, 25mm | Pack of 6 files | Assorted pack","Class IIa, CE, ISO",https://bondent.eu/dentistry-solutions/platinum-v-eu/,https://bondent.eu/wp-content/uploads/2022/10/platinum-image-clean.png
Platinum V.EU,Platinum V.EU,21mm,17,0.12,,Pack of 6 files,Preparation Files,NiTi Rotary File – Premium EU Edition,UDG,Bondent,Platinum V.EU is a premium NiTi rotary file system designed by European KOLs. Features a patented S cross-section with flat design — the perfect compromise between cutting efficiency and debris removal. Innovative polishing and nano coating strengthen cyclic fatigue resistance; new heat treatment improves flexibility.,Designed by European KOLs; Patented S cross-section with flat design; Nano coating for cyclic fatigue resistance; Heat treated for flexibility; Specific side-cutting reduces screw-in effect,"Sizes: #17/12%, #15/4%, #20/5%, #25/4%, #25/6%, #30/4% | Lengths: 19mm (opener), 21mm, 25mm | Pack of 6 files | Assorted pack","Class IIa, CE, ISO",https://bondent.eu/dentistry-solutions/platinum-v-eu/,https://bondent.eu/wp-content/uploads/2022/10/platinum-image-clean.png
Platinum V.EU,Platinum V.EU,21mm,15,0.04,,Pack of 6 files,Preparation Files,NiTi Rotary File – Premium EU Edition,UDG,Bondent,Platinum V.EU is a premium NiTi rotary file system designed by European KOLs. Features a patented S cross-section with flat design — the perfect compromise between cutting efficiency and debris removal. Innovative polishing and nano coating strengthen cyclic fatigue resistance; new heat treatment improves flexibility.,Designed by European KOLs; Patented S cross-section with flat design; Nano coating for cyclic fatigue resistance; Heat treated for flexibility; Specific side-cutting reduces screw-in effect,"Sizes: #17/12%, #15/4%, #20/5%, #25/4%, #25/6%, #30/4% | Lengths: 19mm (opener), 21mm, 25mm | Pack of 6 files | Assorted pack","Class IIa, CE, ISO",https://bondent.eu/dentistry-solutions/platinum-v-eu/,https://bondent.eu/wp-content/uploads/2022/10/platinum-image-clean.png
Platinum V.EU,Platinum V.EU,21mm,20,0.05,,Pack of 6 files,Preparation Files,NiTi Rotary File – Premium EU Edition,UDG,Bondent,Platinum V.EU is a premium NiTi rotary file system designed by European KOLs. Features a patented S cross-section with flat design — the perfect compromise between cutting efficiency and debris removal. Innovative polishing and nano coating strengthen cyclic fatigue resistance; new heat treatment improves flexibility.,Designed by European KOLs; Patented S cross-section with flat design; Nano coating for cyclic fatigue resistance; Heat treated for flexibility; Specific side-cutting reduces screw-in effect,"Sizes: #17/12%, #15/4%, #20/5%, #25/4%, #25/6%, #30/4% | Lengths: 19mm (opener), 21mm, 25mm | Pack of 6 files | Assorted pack","Class IIa, CE, ISO",https://bondent.eu/dentistry-solutions/platinum-v-eu/,https://bondent.eu/wp-content/uploads/2022/10/platinum-image-clean.png
Platinum V.EU,Platinum V.EU,21mm,25,0.04,,Pack of 6 files,Preparation Files,NiTi Rotary File – Premium EU Edition,UDG,Bondent,Platinum V.EU is a premium NiTi rotary file system designed by European KOLs. Features a patented S cross-section with flat design — the perfect compromise between cutting efficiency and debris removal. Innovative polishing and nano coating strengthen cyclic fatigue resistance; new heat treatment improves flexibility.,Designed by European KOLs; Patented S cross-section with flat design; Nano coating for cyclic fatigue resistance; Heat treated for flexibility; Specific side-cutting reduces screw-in effect,"Sizes: #17/12%, #15/4%, #20/5%, #25/4%, #25/6%, #30/4% | Lengths: 19mm (opener), 21mm, 25mm | Pack of 6 files | Assorted pack","Class IIa, CE, ISO",https://bondent.eu/dentistry-solutions/platinum-v-eu/,https://bondent.eu/wp-content/uploads/2022/10/platinum-image-clean.png
Platinum V.EU,Platinum V.EU,21mm,25,0.06,,Pack of 6 files,Preparation Files,NiTi Rotary File – Premium EU Edition,UDG,Bondent,Platinum V.EU is a premium NiTi rotary file system designed by European KOLs. Features a patented S cross-section with flat design — the perfect compromise between cutting efficiency and debris removal. Innovative polishing and nano coating strengthen cyclic fatigue resistance; new heat treatment improves flexibility.,Designed by European KOLs; Patented S cross-section with flat design; Nano coating for cyclic fatigue resistance; Heat treated for flexibility; Specific side-cutting reduces screw-in effect,"Sizes: #17/12%, #15/4%, #20/5%, #25/4%, #25/6%, #30/4% | Lengths: 19mm (opener), 21mm, 25mm | Pack of 6 files | Assorted pack","Class IIa, CE, ISO",https://bondent.eu/dentistry-solutions/platinum-v-eu/,https://bondent.eu/wp-content/uploads/2022/10/platinum-image-clean.png
Platinum V.EU,Platinum V.EU,21mm,30,0.04,,Pack of 6 files,Preparation Files,NiTi Rotary File – Premium EU Edition,UDG,Bondent,Platinum V.EU is a premium NiTi rotary file system designed by European KOLs. Features a patented S cross-section with flat design — the perfect compromise between cutting efficiency and debris removal. Innovative polishing and nano coating strengthen cyclic fatigue resistance; new heat treatment improves flexibility.,Designed by European KOLs; Patented S cross-section with flat design; Nano coating for cyclic fatigue resistance; Heat treated for flexibility; Specific side-cutting reduces screw-in effect,"Sizes: #17/12%, #15/4%, #20/5%, #25/4%, #25/6%, #30/4% | Lengths: 19mm (opener), 21mm, 25mm | Pack of 6 files | Assorted pack","Class IIa, CE, ISO",https://bondent.eu/dentistry-solutions/platinum-v-eu/,https://bondent.eu/wp-content/uploads/2022/10/platinum-image-clean.png
Platinum V.EU,Platinum V.EU,21mm,,,Assorted,Pack of 6 files,Preparation Files,NiTi Rotary File – Premium EU Edition,UDG,Bondent,Platinum V.EU is a premium NiTi rotary file system designed by European KOLs. Features a patented S cross-section with flat design — the perfect compromise between cutting efficiency and debris removal. Innovative polishing and nano coating strengthen cyclic fatigue resistance; new heat treatment improves flexibility.,Designed by European KOLs; Patented S cross-section with flat design; Nano coating for cyclic fatigue resistance; Heat treated for flexibility; Specific side-cutting reduces screw-in effect,"Sizes: #17/12%, #15/4%, #20/5%, #25/4%, #25/6%, #30/4% | Lengths: 19mm (opener), 21mm, 25mm | Pack of 6 files | Assorted pack","Class IIa, CE, ISO",https://bondent.eu/dentistry-solutions/platinum-v-eu/,https://bondent.eu/wp-content/uploads/2022/10/platinum-image-clean.png
Platinum V.EU,Platinum V.EU,25mm,17,0.12,,Pack of 6 files,Preparation Files,NiTi Rotary File – Premium EU Edition,UDG,Bondent,Platinum V.EU is a premium NiTi rotary file system designed by European KOLs. Features a patented S cross-section with flat design — the perfect compromise between cutting efficiency and debris removal. Innovative polishing and nano coating strengthen cyclic fatigue resistance; new heat treatment improves flexibility.,Designed by European KOLs; Patented S cross-section with flat design; Nano coating for cyclic fatigue resistance; Heat treated for flexibility; Specific side-cutting reduces screw-in effect,"Sizes: #17/12%, #15/4%, #20/5%, #25/4%, #25/6%, #30/4% | Lengths: 19mm (opener), 21mm, 25mm | Pack of 6 files | Assorted pack","Class IIa, CE, ISO",https://bondent.eu/dentistry-solutions/platinum-v-eu/,https://bondent.eu/wp-content/uploads/2022/10/platinum-image-clean.png
Platinum V.EU,Platinum V.EU,25mm,15,0.04,,Pack of 6 files,Preparation Files,NiTi Rotary File – Premium EU Edition,UDG,Bondent,Platinum V.EU is a premium NiTi rotary file system designed by European KOLs. Features a patented S cross-section with flat design — the perfect compromise between cutting efficiency and debris removal. Innovative polishing and nano coating strengthen cyclic fatigue resistance; new heat treatment improves flexibility.,Designed by European KOLs; Patented S cross-section with flat design; Nano coating for cyclic fatigue resistance; Heat treated for flexibility; Specific side-cutting reduces screw-in effect,"Sizes: #17/12%, #15/4%, #20/5%, #25/4%, #25/6%, #30/4% | Lengths: 19mm (opener), 21mm, 25mm | Pack of 6 files | Assorted pack","Class IIa, CE, ISO",https://bondent.eu/dentistry-solutions/platinum-v-eu/,https://bondent.eu/wp-content/uploads/2022/10/platinum-image-clean.png
Platinum V.EU,Platinum V.EU,25mm,20,0.05,,Pack of 6 files,Preparation Files,NiTi Rotary File – Premium EU Edition,UDG,Bondent,Platinum V.EU is a premium NiTi rotary file system designed by European KOLs. Features a patented S cross-section with flat design — the perfect compromise between cutting efficiency and debris removal. Innovative polishing and nano coating strengthen cyclic fatigue resistance; new heat treatment improves flexibility.,Designed by European KOLs; Patented S cross-section with flat design; Nano coating for cyclic fatigue resistance; Heat treated for flexibility; Specific side-cutting reduces screw-in effect,"Sizes: #17/12%, #15/4%, #20/5%, #25/4%, #25/6%, #30/4% | Lengths: 19mm (opener), 21mm, 25mm | Pack of 6 files | Assorted pack","Class IIa, CE, ISO",https://bondent.eu/dentistry-solutions/platinum-v-eu/,https://bondent.eu/wp-content/uploads/2022/10/platinum-image-clean.png
Platinum V.EU,Platinum V.EU,25mm,25,0.04,,Pack of 6 files,Preparation Files,NiTi Rotary File – Premium EU Edition,UDG,Bondent,Platinum V.EU is a premium NiTi rotary file system designed by European KOLs. Features a patented S cross-section with flat design — the perfect compromise between cutting efficiency and debris removal. Innovative polishing and nano coating strengthen cyclic fatigue resistance; new heat treatment improves flexibility.,Designed by European KOLs; Patented S cross-section with flat design; Nano coating for cyclic fatigue resistance; Heat treated for flexibility; Specific side-cutting reduces screw-in effect,"Sizes: #17/12%, #15/4%, #20/5%, #25/4%, #25/6%, #30/4% | Lengths: 19mm (opener), 21mm, 25mm | Pack of 6 files | Assorted pack","Class IIa, CE, ISO",https://bondent.eu/dentistry-solutions/platinum-v-eu/,https://bondent.eu/wp-content/uploads/2022/10/platinum-image-clean.png
Platinum V.EU,Platinum V.EU,25mm,25,0.06,,Pack of 6 files,Preparation Files,NiTi Rotary File – Premium EU Edition,UDG,Bondent,Platinum V.EU is a premium NiTi rotary file system designed by European KOLs. Features a patented S cross-section with flat design — the perfect compromise between cutting efficiency and debris removal. Innovative polishing and nano coating strengthen cyclic fatigue resistance; new heat treatment improves flexibility.,Designed by European KOLs; Patented S cross-section with flat design; Nano coating for cyclic fatigue resistance; Heat treated for flexibility; Specific side-cutting reduces screw-in effect,"Sizes: #17/12%, #15/4%, #20/5%, #25/4%, #25/6%, #30/4% | Lengths: 19mm (opener), 21mm, 25mm | Pack of 6 files | Assorted pack","Class IIa, CE, ISO",https://bondent.eu/dentistry-solutions/platinum-v-eu/,https://bondent.eu/wp-content/uploads/2022/10/platinum-image-clean.png
Platinum V.EU,Platinum V.EU,25mm,30,0.04,,Pack of 6 files,Preparation Files,NiTi Rotary File – Premium EU Edition,UDG,Bondent,Platinum V.EU is a premium NiTi rotary file system designed by European KOLs. Features a patented S cross-section with flat design — the perfect compromise between cutting efficiency and debris removal. Innovative polishing and nano coating strengthen cyclic fatigue resistance; new heat treatment improves flexibility.,Designed by European KOLs; Patented S cross-section with flat design; Nano coating for cyclic fatigue resistance; Heat treated for flexibility; Specific side-cutting reduces screw-in effect,"Sizes: #17/12%, #15/4%, #20/5%, #25/4%, #25/6%, #30/4% | Lengths: 19mm (opener), 21mm, 25mm | Pack of 6 files | Assorted pack","Class IIa, CE, ISO",https://bondent.eu/dentistry-solutions/platinum-v-eu/,https://bondent.eu/wp-content/uploads/2022/10/platinum-image-clean.png
Platinum V.EU,Platinum V.EU,25mm,,,Assorted,Pack of 6 files,Preparation Files,NiTi Rotary File – Premium EU Edition,UDG,Bondent,Platinum V.EU is a premium NiTi rotary file system designed by European KOLs. Features a patented S cross-section with flat design — the perfect compromise between cutting efficiency and debris removal. Innovative polishing and nano coating strengthen cyclic fatigue resistance; new heat treatment improves flexibility.,Designed by European KOLs; Patented S cross-section with flat design; Nano coating for cyclic fatigue resistance; Heat treated for flexibility; Specific side-cutting reduces screw-in effect,"Sizes: #17/12%, #15/4%, #20/5%, #25/4%, #25/6%, #30/4% | Lengths: 19mm (opener), 21mm, 25mm | Pack of 6 files | Assorted pack","Class IIa, CE, ISO",https://bondent.eu/dentistry-solutions/platinum-v-eu/,https://bondent.eu/wp-content/uploads/2022/10/platinum-image-clean.png
